"concept","word","country","gender","preference","id"
"Drought avoidance","It needs much fertiliser","Kenya","Female","LessPreferred",2712
"Livestock feed","It is only for livestock feeding yet tge respondent is More concerned about food for his household","Kenya","Male","LessPreferred",2713
"Drought avoidance","Here we don`t have extreme drought season","Kenya","Female","LessPreferred",2714
"Family nutrition","Nothing","Kenya","Male","LessPreferred",2715
"Livestock feed","Because my main challenge in my household is food not livestock feed","Kenya","Male","LessPreferred",2716
"Family nutrition","No explanation","Kenya","Male","LessPreferred",2717
"Green maize","I am used to farming maize for dry produce The market for green maize is usually overflooded","Kenya","Female","LessPreferred",2718
"Green maize","My main target is to have enough grains that will ensure enough food supply at home but not the green maize","Kenya","Male","LessPreferred",2719
"Livestock feed","Is only ideal for livestock consumption and I might not get its market","Kenya","Female","LessPreferred",2720
"Livestock feed","Has high fertiliser requirements and it is not resilient to drought and diseases","Kenya","Female","LessPreferred",2721
"Drought avoidance","Has low yield compared to others","Kenya","Male","LessPreferred",2722
"Green maize","Is not resilient to drought and diseases","Kenya","Female","LessPreferred",2723
"Livestock feed","It is not easy to get ready market for the variety in his locality.","Kenya","Male","LessPreferred",2724
"Food and fodder","The respondent is not interested with growing animals feed","Kenya","Male","LessPreferred",2725
"Food and fodder","The farmer has a few livestock to feed","Kenya","Male","LessPreferred",2726
"Drought avoidance","The seed concept variety gives Low yields","Kenya","Female","LessPreferred",2727
"Livestock feed","It`s only used for animal feeds","Kenya","Male","LessPreferred",2728
"Intercropping (with beans)","The seed concept variety produces overall low yields","Kenya","Female","LessPreferred",2729
"Green maize","It`s mainly grown for sale while the farmer prefers variety that is used for consumption","Kenya","Female","LessPreferred",2730
"Green maize","Because it has yield loses during dry seasons","Kenya","Female","LessPreferred",2731
"Food and fodder","Because it can be used as animal feed and the farmer doesn`t have many animals to feed","Kenya","Female","LessPreferred",2732
"Livestock feed","It`s only used as animal feed which is not a priority to the farmer","Kenya","Female","LessPreferred",2733
"Home use","The farmer is not able to meet the fertiliser need of the variety","Kenya","Male","LessPreferred",2734
"Green maize","Because it cannot be intercropped with beans","Kenya","Female","LessPreferred",2735
"Livestock feed","Prefers variety that produces both food and animal feed.","Kenya","Male","LessPreferred",2736
"Food and fodder","Could prefer to try it later seasons","Kenya","Female","LessPreferred",2737
"Livestock feed","Prefers variety which gives both home use food and animal feeds","Kenya","Female","LessPreferred",2738
"Green maize","No market for green produce and prefers dry maize","Kenya","Female","LessPreferred",2739
"Intercropping (with beans)","Similar to the variety usually planted","Kenya","Male","LessPreferred",2740
"Drought avoidance","Low production","Kenya","Male","LessPreferred",2741
"Green maize","Only for roasting","Kenya","Male","LessPreferred",2742
"Resilience","Average output","Kenya","Male","LessPreferred",2743
"Green maize","White maize can still substitute green maize","Kenya","Male","LessPreferred",2744
"Resilience","Low production","Kenya","Male","LessPreferred",2745
"Intercropping (with beans)","Requires large spacing and separating of crops","Kenya","Male","LessPreferred",2746
"Livestock feed","Currently, I dont have livestock","Kenya","Female","LessPreferred",2747
"Food and fodder","Preparing animal feed is difficult for me","Kenya","Female","LessPreferred",2748
"Intercropping (with beans)","Requires a different planting style than what we know","Kenya","Male","LessPreferred",2749
"Livestock feed","No reason","Kenya","Female","LessPreferred",2750
"Family nutrition","Supplements can be bought|priority is a variety with a good market.","Kenya","Male","LessPreferred",2751
"Food and fodder","Not interested in commercial livestock farming.","Kenya","Male","LessPreferred",2752
"Drought avoidance","It has not explained about the nutrition content.","Kenya","Female","LessPreferred",2753
"Resilience","Its yield is similar with planned variety.","Kenya","Male","LessPreferred",2754
"Green maize","May lead to losses as most will be consumed and finished in the field.","Kenya","Female","LessPreferred",2755
"Family nutrition","It is not drought resistant The fertiliser requirement is high","Kenya","Female","LessPreferred",2756
"Intercropping (with beans)","Intercropping with beans is a risk because of the unpredictable weather","Kenya","Male","LessPreferred",2757
"Livestock feed","It can not be used as human food","Kenya","Male","LessPreferred",2758
"Intercropping (with beans)","It requires more fertiliser","Kenya","Male","LessPreferred",2759
"Green maize","They like dry maize which can be grinded","Kenya","Female","LessPreferred",2760
"Family nutrition","It doesn`t have ready market in this area","Kenya","Female","LessPreferred",2761
"Food and fodder","It is similar to the one they normally use","Kenya","Male","LessPreferred",2762
"Home use","It is similar to the one they use","Kenya","Female","LessPreferred",2763
"Green maize","It can be stolen while still in the","Kenya","Female","LessPreferred",2764
"Green maize","Not interested with green maize, she after ugali","Kenya","Female","LessPreferred",2765
"Family nutrition","Least preferred because of yellow colour that does not guarantee ready local markets","Kenya","Female","LessPreferred",2766
"Livestock feed","Because of yellow colour that is not liked in the family and local markets","Kenya","Male","LessPreferred",2767
"Livestock feed","He must eat before he feeds livestock this variety is not suitable for his food requirements","Kenya","Male","LessPreferred",2768
"Family nutrition","Sweet hence children will consume most it before it dries for harvest, attracts thieves","Kenya","Male","LessPreferred",2769
"Home use","Has relatively lower resistance to drought and diseases","Kenya","Male","LessPreferred",2770
"Livestock feed","It does not provide food for my family","Kenya","Male","LessPreferred",2771
"Family nutrition","This maize is not marketable in the local market","Kenya","Male","LessPreferred",2772
"Family nutrition","Yellow maize is not preferred in my household","Kenya","Female","LessPreferred",2773
"Green maize","Does not provide maize flour, which is the main food in my household","Kenya","Female","LessPreferred",2774
"Drought avoidance","It requires high level of fertiliser","Kenya","Female","LessPreferred",2775
"Green maize","Green maize is mainly for business which is not respondent`s main focus when farming maize","Kenya","Female","LessPreferred",2776
"Livestock feed","It is only best suitable for livestock keeping farmers","Kenya","Male","LessPreferred",2777
"Intercropping (with beans)","It needs a bigger parcel of land because of its big spacing It can easily be affected negatively by drought and diseases such as MLN","Kenya","Male","LessPreferred",2778
"Green maize","The respondent is interested in farming for feeding her family hence needs maize that can be milled not ised as green Green maize is just good for business","Kenya","Female","LessPreferred",2779
"Drought avoidance","It is only good for short rains","Kenya","Female","LessPreferred",2780
"Green maize","The variety can be finished by children in the farm before harvest.","Kenya","Female","LessPreferred",2781
"Food and fodder","I don`t have cattle to feed the fodder","Kenya","Female","LessPreferred",2782
"Drought avoidance","It has low harvests","Kenya","Female","LessPreferred",2783
"Green maize","The variety will not be harvested and dried in correct deserving quantities.","Kenya","Male","LessPreferred",2784
"Livestock feed","Thus is not marketable and is preferred for pigs","Kenya","Female","LessPreferred",2785
"Home use","It can only be used at home while the rest can be produced for commercial purposes","Kenya","Male","LessPreferred",2786
"Green maize","It focuses on green maize only and I normally produce for dry maize harvest","Kenya","Female","LessPreferred",2787
"Livestock feed","It`s for livestock feed and I want for human consumption","Kenya","Male","LessPreferred",2788
"Family nutrition","It has a yellow colour which can turn the flour to yellow","Kenya","Female","LessPreferred",2789
"Green maize","Here I don`t need green maize .I produce dry maize for home consumption","Kenya","Male","LessPreferred",2790
"Home use","It isn`t resilient to diseases and drought","Kenya","Male","LessPreferred",2791
"Livestock feed","It`s yellow makes it to lack market","Kenya","Male","LessPreferred",2792
"Food and fodder","It is almost the same as the one am planning to use next season","Kenya","Female","LessPreferred",2793
"Family nutrition","I can get Vitamin A from other sources and utilise my land on farming other maize","Kenya","Female","LessPreferred",2794
"Livestock feed","I do farming for the purpose of food production and and not for livestock feed","Kenya","Female","LessPreferred",2795
"Food and fodder","Moderate resistant to drought and diseases.","Kenya","Female","LessPreferred",2796
"Livestock feed","Needs of fertilizers are higher.","Kenya","Female","LessPreferred",2797
"Green maize","It is only used when green.","Kenya","Male","LessPreferred",2798
"Intercropping (with beans)","Requires more space.","Kenya","Male","LessPreferred",2799
"Livestock feed","It is only for livestock feeds.","Kenya","Male","LessPreferred",2800
"Food and fodder","Because the focus is on the animal more than consumption","Kenya","Male","LessPreferred",2801
"Family nutrition","The colour of the maize is not attractive to the farmer","Kenya","Female","LessPreferred",2802
"Drought avoidance","The area the farmer residei has enough rainfall and the variety is drought resistant","Kenya","Male","LessPreferred",2803
"Food and fodder","Because it is used as animal feed but the farmer doesn`t have many domestic animals to feed","Kenya","Female","LessPreferred",2804
"Drought avoidance","It uses fertiliser but the farmer cannot afford the fertiliser","Kenya","Male","LessPreferred",2805
"Livestock feed","The yellow color may spread to the other maize varieties when planted and cause discolouration","Kenya","Female","LessPreferred",2806
"Livestock feed","Prefers variety that the produce is for home use.","Kenya","Female","LessPreferred",2807
"Home use","The benefits are similar to the variety usually used.","Kenya","Male","LessPreferred",2808
"Home use","The traits are not well elaborated","Kenya","Female","LessPreferred",2809
"Food and fodder","Uses are less beneficial than the most preferred variety","Kenya","Female","LessPreferred",2810
"Intercropping (with beans)","It gives less yields","Kenya","Female","LessPreferred",2811
"Livestock feed","It gives fodder only","Kenya","Female","LessPreferred",2812
"Green maize","Compared to other concept varieties characteristics it has less benefits","Kenya","Female","LessPreferred",2813
"Livestock feed","The farmer doesn`t have any animals to feed","Kenya","Male","LessPreferred",2814
"Family nutrition","Low production","Kenya","Male","LessPreferred",2815
"Livestock feed","Can look for alternative","Kenya","Male","LessPreferred",2816
"Resilience","Has never seen it","Kenya","Male","LessPreferred",2817
"Intercropping (with beans)","Not sure","Kenya","Female","LessPreferred",2818
"Livestock feed","Small peace of land, so prefers one for human consumption","Kenya","Male","LessPreferred",2819
"Green maize","Not interested in selling green maize","Kenya","Female","LessPreferred",2820
"Food and fodder","Low tolerance to drought","Kenya","Male","LessPreferred",2821
"Green maize","It is only good for business","Kenya","Male","LessPreferred",2822
"Home use","No reason","Kenya","Female","LessPreferred",2823
"Livestock feed","There is no ready market. I dont keep livestock for commercial purposes","Kenya","Male","LessPreferred",2824
"Green maize","Less benefits compared to other concept varieties","Kenya","Female","LessPreferred",2825
"Food and fodder","It`s similar to the variety usually used","Kenya","Female","LessPreferred",2826
"Green maize","No market for green maize","Kenya","Male","LessPreferred",2827
"Livestock feed","Prefers variety that produces grain for food to feed family","Kenya","Male","LessPreferred",2828
"Family nutrition","The uses are less beneficial.","Kenya","Female","LessPreferred",2829
"Drought avoidance","The yields are not impressive like the variety usually planted.","Kenya","Male","LessPreferred",2830
"Home use","It uses fertiliser but the farmer doesn`t have funds to buy the fertiliser","Kenya","Male","LessPreferred",2831
"Intercropping (with beans)","It is same to what the farmer grows every season","Kenya","Female","LessPreferred",2832
"Drought avoidance","Weather patterns is not known in the farmers area of residence","Kenya","Male","LessPreferred",2833
"Food and fodder","Because it is the same as what the farmer plants","Kenya","Male","LessPreferred",2834
"Livestock feed","Is used as animal feed which in not a priority to the farmer","Kenya","Male","LessPreferred",2835
"Family nutrition","Not sure","Kenya","Female","LessPreferred",2836
"Food and fodder","Do not want competition from animals","Kenya","Male","LessPreferred",2837
"Green maize","Not sure about ready market","Kenya","Male","LessPreferred",2838
"Livestock feed","Small acreage |preference given to home use variety","Kenya","Male","LessPreferred",2839
"Home use","Average harvesting","Kenya","Male","LessPreferred",2840
"Green maize","It`s mainly grown for sale while the farmer prefers a seed variety for consumption and sale","Kenya","Male","LessPreferred",2841
"Family nutrition","Incase of sporadic and low rainfall the concept variety will give low yields","Kenya","Female","LessPreferred",2842
"Livestock feed","In the case of drought and diseases attack the concept variety gives low yields","Kenya","Female","LessPreferred",2843
"Green maize","It`s mainly grown for sale while the farmer prefers the variety that for consumption","Kenya","Female","LessPreferred",2844
"Resilience","Gives low yields","Kenya","Female","LessPreferred",2845
"Livestock feed","Food is more important to us","Kenya","Female","LessPreferred",2846
"Home use","Affected by pests and diseases","Kenya","Male","LessPreferred",2847
"Family nutrition","I need high yielding maize varieties","Kenya","Male","LessPreferred",2848
"Livestock feed","No reason","Kenya","Male","LessPreferred",2849
"Green maize","Sold mostly when green","Kenya","Female","LessPreferred",2850
"Green maize","Because the green maize has low demand as compared to the other varieties .","Kenya","Female","LessPreferred",2851
"Livestock feed","Requires a lot of fertilisers Reduced resistance to prolonged drought.","Kenya","Female","LessPreferred",2852
"Intercropping (with beans)","Intercroping reduces the total amount of yields as compared to planting maize alone.","Kenya","Male","LessPreferred",2853
"Green maize","It`s only consumed while green but we prefer flour instead.","Kenya","Male","LessPreferred",2854
"Food and fodder","Because its advantages are mainly based on livestock as compared to human beings.","Kenya","Male","LessPreferred",2855
"Livestock feed","Mainly meant for livestock not food","Kenya","Female","LessPreferred",2856
"Intercropping (with beans)","It is similar to the normal variety","Kenya","Female","LessPreferred",2857
"Home use","Similar to the normal variety","Kenya","Male","LessPreferred",2858
"Livestock feed","Vulnerable to diseases and meant for livestock only","Kenya","Male","LessPreferred",2859
"Livestock feed","It is not meant for human consumption","Kenya","Male","LessPreferred",2860
"Drought avoidance","It matures early,meaning the harvest won`t last for long.","Kenya","Male","LessPreferred",2861
"Family nutrition","My family doesn`t like the yellow maize, secondly, it has no demand in the market, making it hard to sell.","Kenya","Female","LessPreferred",2862
"Food and fodder","I have a lot of nappier grass, don`t need more fodder.","Kenya","Male","LessPreferred",2863
"Intercropping (with beans)","Incase there is drought or occurrence of diseases, there is yield loss.","Kenya","Female","LessPreferred",2864
"Green maize","High demand for flour not green maize","Kenya","Male","LessPreferred",2865
"Livestock feed","The variety is mainly good for livestock feed while the farmer preferes food varieties.","Kenya","Female","LessPreferred",2866
"Food and fodder","The farmer doesn`t have cattle hence preferes food variety of maize","Kenya","Female","LessPreferred",2867
"Intercropping (with beans)","The variety is similar traits to the farmer`s variety","Kenya","Male","LessPreferred",2868
"Green maize","The farmer preferes dry maize that can be stored for later use or sold","Kenya","Male","LessPreferred",2869
"Livestock feed","The farmer do not prefer yellow coloured maize variety","Kenya","Female","LessPreferred",2870
"Green maize","Prefer maize for ugali","Kenya","Female","LessPreferred",2871
"Food and fodder","Same with what he usually plant","Kenya","Male","LessPreferred",2872
"Livestock feed","Prefer maize for ugali","Kenya","Male","LessPreferred",2873
"Home use","Medium yield","Kenya","Male","LessPreferred",2874
"Green maize","It`s only good for sale","Kenya","Female","LessPreferred",2875
"Food and fodder","It has the same traits as the one I usually use","Kenya","Male","LessPreferred",2876
"Family nutrition","It is nutritious but not good in cooking flour","Kenya","Female","LessPreferred",2877
"Green maize","It is not resilient to drought and diseases","Kenya","Male","LessPreferred",2878
"Food and fodder","It is easily affected and attacked by insects pests","Kenya","Male","LessPreferred",2879
"Drought avoidance","Has low yield than the other two","Kenya","Female","LessPreferred",2880
"Livestock feed","The variety is not marketable","Kenya","Male","LessPreferred",2881
"Livestock feed","The feed is for pigs and chicken, and that is a waste of grains and land.","Kenya","Male","LessPreferred",2882
"Drought avoidance","It has low harvests","Kenya","Male","LessPreferred",2883
"Food and fodder","The variety maize stalks is good for livestock and grains human consumption but I would have preferred it if it were only for human consumption.","Kenya","Female","LessPreferred",2884
"Drought avoidance","It has low grain harvest.","Kenya","Female","LessPreferred",2885
"Livestock feed","it`s mainly for livestock consumption","Kenya","Female","LessPreferred",2886
"Green maize","There is no market for green maize and I normally produce for dry harvest maize","Kenya","Male","LessPreferred",2887
"Green maize","It can be consumed as green maize only and we like producing for both green and dry harvest","Kenya","Female","LessPreferred",2888
"Drought avoidance","In my place we don`t experience drought","Kenya","Male","LessPreferred",2889
"Livestock feed","It`s for feeding livestock and I do farm for home use ie flour and food","Kenya","Male","LessPreferred",2890
"Food and fodder","It only has two options which are feeding livestock and home use.","Kenya","Male","LessPreferred",2891
"Home use","It is only for home use.","Kenya","Male","LessPreferred",2892
"Livestock feed","He doesnt keep pigs so it will be of no use and they will lack food for home use.","Kenya","Female","LessPreferred",2893
"Green maize","She doesn`t sell green maize because of lack of ready market .","Kenya","Female","LessPreferred",2894
"Livestock feed","She has no livestock and no market to sell the produce.","Kenya","Female","LessPreferred",2895
"Resilience","It has lower yield than other varieties","Kenya","Female","LessPreferred",2896
"Family nutrition","It does not yield well during drought","Kenya","Male","LessPreferred",2897
"Food and fodder","The food and fodder is only good for those doing big livestock farming","Kenya","Male","LessPreferred",2898
"Green maize","It cannot do well in semi arid areas or in drought","Kenya","Female","LessPreferred",2899
"Livestock feed","It needs high amount of fertiliser to do well","Kenya","Female","LessPreferred",2900
"Resilience","Its resembles normal variety","Kenya","Male","LessPreferred",2901
"Green maize","Normally the respondent prefers ugali The green variety is only good for business purposes Cannot be stored for future use","Kenya","Male","LessPreferred",2902
"Food and fodder","The respondent is not keeping livestock hence cannot benefit from food and fooder variety","Kenya","Male","LessPreferred",2903
"Livestock feed","It is only for livestock feeding which is not main area of focus by the respondent","Kenya","Male","LessPreferred",2904
"Resilience","It doesn`t have much yield as other varieties","Kenya","Female","LessPreferred",2905
"Food and fodder","It is less resistant to drought","Kenya","Male","LessPreferred",2906
"Livestock feed","it has less resistant to diseases","Kenya","Female","LessPreferred",2907
"Livestock feed","It is mainly for animal feed and not human consumption","Kenya","Female","LessPreferred",2908
"Green maize","The market for green maize is not available","Kenya","Female","LessPreferred",2909
"Resilience","Cannot establish the reason","Kenya","Female","LessPreferred",2910
"Drought avoidance","The variety has low harvest","Kenya","Female","LessPreferred",2911
"Livestock feed","It is not palatable","Kenya","Female","LessPreferred",2912
"Green maize","It has lot of losses at harvest","Kenya","Female","LessPreferred",2913
"Family nutrition","It is not vegetative for fèeding livestock.","Kenya","Male","LessPreferred",2914
"Livestock feed","The variety is good for pigs","Kenya","Male","LessPreferred",2915
"Home use","Is somehow affected by drought and diseases","Kenya","Male","LessPreferred",2916
"Intercropping (with beans)","It has similar traits with the I usually use","Kenya","Female","LessPreferred",2917
"Livestock feed","It not ideal for human consumption","Kenya","Male","LessPreferred",2918
"Resilience","It is not a good variety to intercrop with beans","Kenya","Male","LessPreferred",2919
"Livestock feed","Can only used in feeding livestock","Kenya","Female","LessPreferred",2920
"Drought avoidance","No reason.","Kenya","Male","LessPreferred",2921
"Home use","It is only for home consumption.","Kenya","Male","LessPreferred",2922
"Livestock feed","Its only for livestock feeding and thus they will lack food for home use.","Kenya","Female","LessPreferred",2923
"Livestock feed","It is only for livestock feeds.","Kenya","Female","LessPreferred",2924
"Family nutrition","No reason","Kenya","Male","LessPreferred",2925
"Drought avoidance","Low production","Kenya","Female","LessPreferred",2926
"Home use","It take longer time to mature","Kenya","Female","LessPreferred",2927
"Home use","Same purpose as what they usually plant","Kenya","Female","LessPreferred",2928
"Drought avoidance","Low yield","Kenya","Female","LessPreferred",2929
"Livestock feed","It`s only Good for farmers keeping livestock","Kenya","Male","LessPreferred",2930
"Green maize","Have no family of little children to feed and finding market for the produce is difficult","Kenya","Male","LessPreferred",2931
"Resilience","Vulnerable to diseases","Kenya","Female","LessPreferred",2932
"Food and fodder","Have no livestock","Kenya","Female","LessPreferred",2933
"Resilience","Vulnerable to diseases","Kenya","Female","LessPreferred",2934
"Home use","It takes long time to mature just the normal varieties","Kenya","Male","LessPreferred",2935
"Family nutrition","Unavailability of the market for the produce","Kenya","Male","LessPreferred",2936
"Livestock feed","Mainly meant for livestock feeding not human consumption","Kenya","Female","LessPreferred",2937
"Food and fodder","Because the farmer has no livestock thus it will be of no importance.","Kenya","Male","LessPreferred",2938
"Food and fodder","Increased drought resistance rate.","Kenya","Male","LessPreferred",2939
"Home use","Low yields.","Kenya","Male","LessPreferred",2940
"Home use","Because I wanted the variety that helps both humans and animals unlike this home used variety.","Kenya","Female","LessPreferred",2941
"Intercropping (with beans)","It`s more less the same as the normal varieties.","Kenya","Female","LessPreferred",2942
"Resilience","It takes has equal maturity period with my local variety","Kenya","Male","LessPreferred",2943
"Green maize","Vulnerable to diseases","Kenya","Female","LessPreferred",2944
"Resilience","It`s not drought resistant.","Kenya","Female","LessPreferred",2945
"Livestock feed","Low demand in terms of market","Kenya","Female","LessPreferred",2946
"Drought avoidance","Unlike the other varieties, it prone to pests and diseases.","Kenya","Female","LessPreferred",2947
"Livestock feed","The variety is not common thus not easy to sell produce","Kenya","Male","LessPreferred",2948
"Home use","Mostly described for home use, we need an all purpose variety.","Kenya","Female","LessPreferred",2949
"Green maize","The variety is only suitable for green maize use whereas the farmer preferes a variety that can be harvested and stored for later use","Kenya","Male","LessPreferred",2950
"Home use","Its has fewer benefits.","Kenya","Female","LessPreferred",2951
"Family nutrition","Its colour makes it to fetch low prices in the market.","Kenya","Male","LessPreferred",2952
"Food and fodder","Feeding livestock is not a priority","Kenya","Female","LessPreferred",2953
"Resilience","It has minimal yield.","Kenya","Male","LessPreferred",2954
"Intercropping (with beans)","Ability to withstand drought and diseases is moderate hence it`s likely to produce low yields incase of drought","Kenya","Female","LessPreferred",2955
"Green maize","Green maize has a small market range in this location","Kenya","Female","LessPreferred",2956
"Livestock feed","It is only meant for livestocks consumption","Kenya","Female","LessPreferred",2957
"Green maize","It cannot be stored for future usage","Kenya","Female","LessPreferred",2958
"Family nutrition","It takes 4 months to be ready which is longer than the normal time","Kenya","Female","LessPreferred",2959
"Livestock feed","This variety does not provide food for the household","Kenya","Male","LessPreferred",2960
"Home use","The other maize varieties suits this area better than this variety","Kenya","Male","LessPreferred",2961
"Family nutrition","Takes longer to mature, it can not withstand prolonged drought","Kenya","Male","LessPreferred",2962
"Green maize","Production is highly reduced in due drought","Kenya","Female","LessPreferred",2963
"Livestock feed","Not suitable for household use","Kenya","Male","LessPreferred",2964
"Livestock feed","No ready market locally available, ugali taste not liked by many","Kenya","Female","LessPreferred",2965
"Drought avoidance","Low productivity due to short maturity period","Kenya","Male","LessPreferred",2966
"Family nutrition","Not necessary , he substitute with other indigenous vegetables","Kenya","Male","LessPreferred",2967
"Home use","No particular reason mentioned","Kenya","Male","LessPreferred",2968
"Green maize","Most interested with what can be dried, milled and flour used to prepare ugali","Kenya","Male","LessPreferred",2969
"Livestock feed","It`s not resistant to drought","Kenya","Male","LessPreferred",2970
"Livestock feed","It requires a lot of fertiliser","Kenya","Female","LessPreferred",2971
"Green maize","They have not indicated the nutritional value of this variety They just said green variety","Kenya","Male","LessPreferred",2972
"Home use","It`s the same as what we normally plant","Kenya","Female","LessPreferred",2973
"Family nutrition","People in the village will wonder what type of maize I have plant","Kenya","Male","LessPreferred",2974
"Livestock feed","Feeding livestock is not a priority.","Kenya","Female","LessPreferred",2975
"Livestock feed","It`s advantages are only based on livestock.","Kenya","Female","LessPreferred",2976
"Intercropping (with beans)","It only does well adequately spaced. Therefore low yields are expected in small pieces of land.","Kenya","Female","LessPreferred",2977
"Resilience","Prone to diseases","Kenya","Female","LessPreferred",2978
"Green maize","It has low yields.","Kenya","Male","LessPreferred",2979
"Livestock feed","Mostly recommended for pigs and chicken than human consumption","Kenya","Male","LessPreferred",2980
"Livestock feed","Need for food not feed","Kenya","Female","LessPreferred",2981
"Resilience","Less productive compared to the other varieties","Kenya","Male","LessPreferred",2982
"Green maize","Its mainly meant for commercial purposes","Kenya","Male","LessPreferred",2983
"Green maize","Its good taste can attract pests","Kenya","Female","LessPreferred",2984
"Drought avoidance","Has less yield during normal seasons","Kenya","Female","LessPreferred",2985
"Livestock feed","It`s only for livestock","Kenya","Female","LessPreferred",2986
"Food and fodder","Same variety we planted","Kenya","Female","LessPreferred",2987
"Drought avoidance","Low production","Kenya","Female","LessPreferred",2988
"Livestock feed","Low demand in market","Kenya","Female","LessPreferred",2989
"Resilience","Medium production","Kenya","Female","LessPreferred",2990
"Livestock feed","Mostly majors on livestock.","Kenya","Male","LessPreferred",2991
"Food and fodder","Didn`t talk about intercropping.","Kenya","Female","LessPreferred",2992
"Drought avoidance","Matures early, hence brings hunger since it is gets depleted very first.","Kenya","Female","LessPreferred",2993
"Food and fodder","It is Similar to what I planted.","Kenya","Female","LessPreferred",2994
"Green maize","Concentrates more on the maize while still green, its Market might be a problem if it is flooded. We need a variety that gives much of the dry maize.","Kenya","Female","LessPreferred",2995
"Livestock feed","The yellow colour of the variety makes it scary to the farmer`s children hence she doesn`t prefer it.","Kenya","Female","LessPreferred",2996
"Livestock feed","The variety is mainly suitable for livestock feed","Kenya","Female","LessPreferred",2997
"Intercropping (with beans)","The variety has low yield","Kenya","Male","LessPreferred",2998
"Food and fodder","The variety is has same uses as the farmer`s variety","Kenya","Female","LessPreferred",2999
"Livestock feed","Mainly meant for livestock feeding not food","Kenya","Female","LessPreferred",3000
"Livestock feed","Because this variety is only important to pigs and chicken as compared to human.","Kenya","Male","LessPreferred",3001
"Family nutrition","Because this variety is only beneficial to children","Kenya","Male","LessPreferred",3002
"Home use","Resistant to drought and diseases is just average, not understanding very well","Kenya","Female","LessPreferred",3003
"Drought avoidance","It can`t withstand prolonged drought.","Kenya","Male","LessPreferred",3004
"Green maize","It`s of low demands compared to the other varieties","Kenya","Female","LessPreferred",3005
"Green maize","Unavailability of markets for green maize","Kenya","Male","LessPreferred",3006
"Livestock feed","Mainly meant for livestock","Kenya","Male","LessPreferred",3007
"Intercropping (with beans)","Can`t be used as fodder","Kenya","Female","LessPreferred",3008
"Green maize","Its good taste attracts pests hence loss","Kenya","Female","LessPreferred",3009
"Food and fodder","Normal variety usually planted","Kenya","Male","LessPreferred",3010
"Drought avoidance","Low production","Kenya","Female","LessPreferred",3011
"Livestock feed","Currently has few chicken","Kenya","Female","LessPreferred",3012
"Intercropping (with beans)","Mostly plant maize as monocrop for easy management","Kenya","Male","LessPreferred",3013
"Family nutrition","Farmer will supplements vitamin A with sweet potato","Kenya","Female","LessPreferred",3014
"Livestock feed","It`s only good for farmers that keeps livestock","Kenya","Male","LessPreferred",3015
"Green maize","The variety is mainly suitable for green maize use while the farmer preferes a variety that matures faster, dried and sold.","Kenya","Male","LessPreferred",3016
"Green maize","The variety is only suitable for use in green state","Kenya","Male","LessPreferred",3017
"Livestock feed","The variety has high fertiliser requirement and is less tolerant to drought and diseases","Kenya","Male","LessPreferred",3018
"Family nutrition","The variety has yellow grain which is not common and is may scare children","Kenya","Male","LessPreferred",3019
"Livestock feed","The variety has high fertiliser requirement and also less resistant to drought and diseases","Kenya","Female","LessPreferred",3020
"Food and fodder","I have no livestock to feed, thus why I prefer it less.","Kenya","Female","LessPreferred",3021
"Food and fodder","I have no livestock to feed in my homestead.","Kenya","Male","LessPreferred",3022
"Green maize","I don`t prefer green maize, i prefer dry maize which can be stored and made available for later use.","Kenya","Female","LessPreferred",3023
"Home use","Its uses is more concentrated on the household.","Kenya","Male","LessPreferred",3024
"Livestock feed","This variety of maize has no market.","Kenya","Female","LessPreferred",3025
"Family nutrition","She has no reason.","Kenya","Female","LessPreferred",3026
"Livestock feed","Has no capital to start rearing pigs and chicken in large scale","Kenya","Male","LessPreferred",3027
"Green maize","Not a must him to consume green maize","Kenya","Male","LessPreferred",3028
"Livestock feed","Used majorly for livestock that which he owns few","Kenya","Female","LessPreferred",3029
"Food and fodder","Has no livestock to feed hence no interest","Kenya","Male","LessPreferred",3030
"Green maize","Interested in a variety that is used while dried only.","Kenya","Male","LessPreferred",3031
"Intercropping (with beans)","It has moderate resistance against drought.","Kenya","Male","LessPreferred",3032
"Livestock feed","It is good when planted for commercial use.","Kenya","Male","LessPreferred",3033
"Green maize","It is with the least benefits compared to the other two.","Kenya","Female","LessPreferred",3034
"Livestock feed","The yellow colour may not be very attractive in the market.","Kenya","Female","LessPreferred",3035
"Drought avoidance","They usually plant during long rain period","Kenya","Male","LessPreferred",3036
"Livestock feed","It`s useful to both human beings and livestocks","Kenya","Female","LessPreferred",3037
"Home use","It is similar to the one they have used in the past","Kenya","Male","LessPreferred",3038
"Drought avoidance","Maturity period is shorter","Kenya","Male","LessPreferred",3039
"Family nutrition","They don`t prefer orange maize","Kenya","Male","LessPreferred",3040
"Livestock feed","It is not drought resistant","Kenya","Male","LessPreferred",3041
"Livestock feed","This is mainly for livestock and I don`t have pigs","Kenya","Male","LessPreferred",3042
"Family nutrition","It is yellow and we prefer white ugali","Kenya","Male","LessPreferred",3043
"Green maize","It can rot faster incase of lack of market for green maize","Kenya","Female","LessPreferred",3044
"Food and fodder","It requires more fertiliser","Kenya","Female","LessPreferred",3045
"Green maize","There`s no established market for green maize in our area","Kenya","Male","LessPreferred",3046
