"concept","preference","country","gender","word"
"Resilience","Preferred","Uganda","Male","resistant conditions"
"Drought avoidance","Preferred","Uganda","Female","fights drought spell rampant"
"Intercropping (with beans)","Preferred","Uganda","Female","cobs planted crop"
"Drought avoidance","Preferred","Uganda","Male","takes months harvested"
"Drought avoidance","Preferred","Uganda","Female","takes months drought resistant"
"Livestock feed","Preferred","Uganda","Female","rearing livestock shs prefers high profits"
"Intercropping (with beans)","Preferred","Uganda","Male","takes little fertilizer yet harvest much"
"Resilience","Preferred","Uganda","Male","work infertils landfo"
"Family nutrition","Preferred","Uganda","Female","nutritious"
"Drought avoidance","Preferred","Uganda","Female","grow fast brings profits earlier"
"Resilience","Preferred","Uganda","Male","nature land fertility prefers  resilient"
"Home use","Preferred","Uganda","Female","storage safe months sweet posho conversion"
"Resilience","Preferred","Uganda","Female","resistant drought disease groes land fertility"
"Intercropping (with beans)","Preferred","Uganda","Female","harvest yield maize cobs big resistant drought disease"
"Family nutrition","Preferred","Uganda","Male","nutritious good children"
"Home use","Preferred","Uganda","Male","food sell"
"Intercropping (with beans)","Preferred","Uganda","Male","gives crop garden"
"Family nutrition","Preferred","Uganda","Female","big size cobs"
"Resilience","Preferred","Uganda","Male","drought seasons area"
"Family nutrition","Preferred","Uganda","Female","big cobs"
"Drought avoidance","Preferred","Uganda","Female","drought seasons"
"Food and fodder","Preferred","Uganda","Male","keep livestock good livestock"
"Home use","Preferred","Uganda","Male","takes long rot say months"
"Resilience","Preferred","Uganda","Male","drought resistant require different kinds fertilizer"
"Drought avoidance","Preferred","Uganda","Female","drought disease resistant"
"Food and fodder","Preferred","Uganda","Male","food people livestock"
"Resilience","Preferred","Uganda","Female","drought resistant"
"Food and fodder","Preferred","Uganda","Male","seen fodder remains livestock"
"Family nutrition","Preferred","Uganda","Female","helps children grow important"
"Livestock feed","Preferred","Uganda","Male","easily market wholesale shop many farmers community"
"Green maize","Preferred","Uganda","Female","yield big maize cob sweet"
"Resilience","Preferred","Uganda","Male","soil goodthey need fertilizer therefore work land"
"Intercropping (with beans)","Preferred","Uganda","Female","better mix garden crop"
"Drought avoidance","Preferred","Uganda","Female","withstand unpredictable rainfall seasons"
"Green maize","Preferred","Uganda","Female","easily sold still growing"
"Drought avoidance","Preferred","Uganda","Male","rainfall predictable therefore stand drought seasons"
"Livestock feed","Preferred","Uganda","Male","good livestock"
"Green maize","Preferred","Uganda","Female","long cobs"
"Resilience","Preferred","Uganda","Male","resistant drought"
"Green maize","Preferred","Uganda","Female","size cobs long"
"Family nutrition","Preferred","Uganda","Male","nutritious good children"
"Intercropping (with beans)","Preferred","Uganda","Female","intercrop crop helps save space"
"Livestock feed","Preferred","Uganda","Male","help livestock farm fodder"
"Family nutrition","Preferred","Uganda","Female","nutritious sold schools"
"Green maize","Preferred","Uganda","Female","harvest still green"
"Family nutrition","Preferred","Uganda","Male","drought resistant yield months nutritious"
"Home use","Preferred","Uganda","Male","storage forna long duration"
"Home use","Preferred","Uganda","Female","storage time attacked pests"
"Livestock feed","Preferred","Uganda","Female","yield much opposed"
"Livestock feed","Preferred","Uganda","Male","less space crop grow gives high returns harvest"
"Food and fodder","Preferred","Uganda","Male","provides high returns harvest"
"Resilience","Preferred","Uganda","Female","drought disease resistant"
"Food and fodder","Preferred","Uganda","Female","serve purposes drought resistant"
"Intercropping (with beans)","Preferred","Uganda","Male","asmall piece land good hervesting crop"
"Green maize","Preferred","Uganda","Male","big cobs"
"Resilience","Preferred","Uganda","Female","drought resistant"
"Green maize","Preferred","Uganda","Female","big size"
"Intercropping (with beans)","Preferred","Uganda","Male","good limited farm land"
"Drought avoidance","Preferred","Uganda","Male","drought resistant"
"Resilience","Preferred","Uganda","Female","maize variety stand weather conditions"
"Intercropping (with beans)","Preferred","Uganda","Male","mixed still high yield"
"Green maize","Preferred","Uganda","Male","yield much cobs big therefore yield much sweet"
"Intercropping (with beans)","Preferred","Uganda","Female","maize maize big harvest maize equally"
"Green maize","Preferred","Uganda","Male","maize big cobs"
"Drought avoidance","Preferred","Uganda","Female","similar maize planting"
"Family nutrition","Preferred","Uganda","Female","nutritious takes months harvested"
"Home use","Preferred","Uganda","Male","disease resistant gives high yield harvest produces white flour milling"
"Drought avoidance","Preferred","Uganda","Male","drought resistant"
"Green maize","Preferred","Uganda","Male","seed maize compacts maize big size"
"Drought avoidance","Preferred","Uganda","Female","grow fast drought resistant"
"Food and fodder","Preferred","Uganda","Female","contains high nutrient livestock fodder"
"Intercropping (with beans)","Preferred","Uganda","Female","small piece land therefore type gives room intercrop"
"Livestock feed","Preferred","Uganda","Female","gives chance consume household whilst giving livestock livestock poultry"
"Family nutrition","Preferred","Uganda","Male","contacting nutritious good children growth"
"Green maize","Preferred","Uganda","Male","part food given livestock farmer spare household consumption"
"Green maize","Preferred","Uganda","Male","farmer needs quick money help achieves sold fresh maize packed"
"Home use","Preferred","Uganda","Female","drought resistant storage pests"
"Livestock feed","Preferred","Uganda","Female","nutrient livestock thats focus right now"
"Drought avoidance","Preferred","Uganda","Male","challenge drought drought resistant best"
"Food and fodder","Preferred","Uganda","Male","good livestock people"
"Drought avoidance","Preferred","Uganda","Male","area receives little rainfall"
"Green maize","Preferred","Uganda","Female","sweet maize big maize high yield"
"Home use","Preferred","Uganda","Female","prices storage wait higher price maize"
"Resilience","Preferred","Uganda","Female","drought disease resistant"
"Resilience","Preferred","Uganda","Female","affected drought disease"
"Intercropping (with beans)","Preferred","Uganda","Male","hervest crop time piece land"
"Home use","Preferred","Uganda","Male","strong kernel long storage"
"Livestock feed","Preferred","Uganda","Male","good livestock nutritious"
"Resilience","Preferred","Uganda","Male","grow fast"
"Home use","Preferred","Uganda","Male","spoils easily storage"
"Intercropping (with beans)","Preferred","Uganda","Female","limited farm land offers"
"Resilience","Preferred","Uganda","Male","disease resistant every eats"
"Drought avoidance","Preferred","Uganda","Female","according place always affected drought best"
"Family nutrition","Preferred","Uganda","Male","high levels nutritious betther growth children"
"Family nutrition","Preferred","Uganda","Female","nutricious nutritious"
"Resilience","Preferred","Uganda","Male","withstand weather conditions"
"Intercropping (with beans)","Preferred","Uganda","Female","spaced properly high yield"
"Intercropping (with beans)","Preferred","Uganda","Female","intercrop still high harvest"
"Home use","Preferred","Uganda","Female","maize flour sweet easily affected pests harvest"
"Drought avoidance","Preferred","Uganda","Male","takes months harvested drought resistant"
"Drought avoidance","Preferred","Uganda","Female","drought resistant"
"Home use","Preferred","Uganda","Female","drought resistant resistant disease"
"Resilience","Preferred","Uganda","Male","drought resistant"
"Drought avoidance","Preferred","Uganda","Male","grow fast drought resistant"
"Family nutrition","Preferred","Uganda","Female","nutritious good children nutrition growth"
"Home use","Preferred","Uganda","Female","hard scarseed storage long periods resistant damaged pests"
"Resilience","Preferred","Uganda","Male","drought disease resistant"
"Green maize","Preferred","Uganda","Male","purposes drought disease resistant"
"Resilience","Preferred","Uganda","Male","facts drought disease resistant"
"Home use","Preferred","Uganda","Female","long storage periods"
"Resilience","Preferred","Uganda","Male","drought resistant"
"Intercropping (with beans)","Preferred","Uganda","Female","allows smaall plots intercrop"
"Resilience","Preferred","Uganda","Male","ever planted type drought resistant"
"Intercropping (with beans)","Preferred","Uganda","Female","allows inter croping"
"Intercropping (with beans)","Preferred","Uganda","Female","space intercrop crop grow"
"Family nutrition","Preferred","Uganda","Female","nutritious good children uses similar pesticides fertilizer grow"
"Food and fodder","Preferred","Uganda","Male","provides food household consumption livestock storage sale"
"Resilience","Preferred","Uganda","Male","drought disease resistant"
"Intercropping (with beans)","Preferred","Uganda","Female","maize plant yield maize"
"Family nutrition","Preferred","Uganda","Male","maize big size seed compacts"
"Green maize","Preferred","Uganda","Male","big seed compacts"
"Home use","Preferred","Uganda","Female","disease resistant"
"Home use","Preferred","Uganda","Female","storage long periods time"
"Intercropping (with beans)","Preferred","Uganda","Male","maize cobs"
"Intercropping (with beans)","Preferred","Uganda","Female","limited land offers"
"Resilience","Preferred","Uganda","Male","drought resistant"
"Drought avoidance","Preferred","Uganda","Female","suffer drought along time"
"Family nutrition","Preferred","Uganda","Female","nutrisious cons"
"Intercropping (with beans)","Preferred","Uganda","Male","leaves looks original allows intercrop"
"Food and fodder","Preferred","Uganda","Male","provides fodder livestock"
"Resilience","Preferred","Uganda","Female","thrive soil fertility"
"Home use","Preferred","Uganda","Male","storage long time attacked pests"
"Home use","Preferred","Uganda","Female","drought resistant storage months rotting disease resistant"
"Intercropping (with beans)","Preferred","Uganda","Male","maize cobs"
"Drought avoidance","Preferred","Uganda","Male","drought resistant"
"Drought avoidance","Preferred","Uganda","Female","low rainfall area"
"Resilience","Preferred","Uganda","Male","soil fertility"
"Home use","Preferred","Uganda","Male","storage times plenty better returns"
"Intercropping (with beans)","Preferred","Uganda","Female","cash maturity early"
"Home use","Preferred","Uganda","Female","storage long time"
"Drought avoidance","Preferred","Uganda","Female","drought resistant"
"Resilience","Preferred","Uganda","Male","disease drought resistant"
"Intercropping (with beans)","Preferred","Uganda","Male","produces maize corbsfruits maturity stage"
"Drought avoidance","Preferred","Uganda","Female","grow fast"
"Family nutrition","Preferred","Uganda","Male","nutritious good children growth"
"Home use","Preferred","Uganda","Female","provides food good household consumption"
"Family nutrition","Preferred","Uganda","Female","nutritious good body growth"
"Drought avoidance","Preferred","Uganda","Male","early harvest month disease free"
"Drought avoidance","Preferred","Uganda","Female","early harvest disease free drought resistant"
"Green maize","Preferred","Uganda","Male","early harvest drought resistant disease free"
"Family nutrition","Preferred","Uganda","Female","good nutritious children"
"Intercropping (with beans)","Preferred","Uganda","Female","intercrop crop"
"Intercropping (with beans)","Preferred","Uganda","Male","resistant drought"
"Drought avoidance","Preferred","Uganda","Female","drought resistant"
"Family nutrition","Preferred","Uganda","Female","nutritious sold"
"Green maize","Preferred","Uganda","Male","yield big cob attracts buyers market"
"Drought avoidance","Preferred","Uganda","Male","yield"
"Resilience","Preferred","Uganda","Male","weather resistant requires little fertilizer"
"Drought avoidance","Preferred","Uganda","Male","yield fast"
"Intercropping (with beans)","Preferred","Uganda","Male","easily marketeable"
"Drought avoidance","Preferred","Uganda","Female","maturity lesser time months"
"Family nutrition","Preferred","Uganda","Female","presence nutritious"
"Drought avoidance","Preferred","Uganda","Female","takes shorter maturity natural fertilers"
"Intercropping (with beans)","Preferred","Uganda","Male","helps grow many types food garden"
"Resilience","Preferred","Uganda","Female","pests sunshine destroys maize garden"
"Drought avoidance","Preferred","Uganda","Female","helps unreliable rainfall"
"Resilience","Preferred","Uganda","Male","hills drought second seasonthis better"
"Livestock feed","Preferred","Uganda","Male","looks given livestock direct process"
"Food and fodder","Preferred","Uganda","Male","mainly consumption"
"Drought avoidance","Preferred","Uganda","Female","grow drought seasons"
"Livestock feed","Preferred","Uganda","Male","rearing livestock poultry best"
"Drought avoidance","Preferred","Uganda","Female","takes fewer months harvested drought resistant needs local fertilizer"
"Resilience","Preferred","Uganda","Female","stand weather conditions rainfall sunshine"
"Livestock feed","Preferred","Uganda","Male","basic requirement right now livestock specifically livestock nutriets specifically livestock"
"Livestock feed","Preferred","Uganda","Male","pigs nutrisious levels"
"Home use","Preferred","Uganda","Female","facts keep long time getting spoils stornge kernel"
"Drought avoidance","Preferred","Uganda","Male","grow months drought disease resistant"
"Food and fodder","Preferred","Uganda","Female","resistant various conditions gives higher yield"
"Intercropping (with beans)","Preferred","Uganda","Female","allows intercrop"
"Resilience","Preferred","Uganda","Female","dosent need alot fertilizer uses"
"Green maize","Preferred","Uganda","Male","good taste"
"Intercropping (with beans)","Preferred","Uganda","Male","grown together plants"
"Resilience","Preferred","Uganda","Female","drought resistant needs little fertilizer yield"
"Drought avoidance","Preferred","Uganda","Female","drought resistant"
"Food and fodder","Preferred","Uganda","Male","high nutrient livestock fodder"
"Home use","Preferred","Uganda","Female","storage long term"
"Green maize","Preferred","Uganda","Male","maize cobs big gaps"
"Family nutrition","Preferred","Uganda","Female","highly nutrisious yellow color"
"Home use","Preferred","Uganda","Male","drought resistant strong kernel long storage tge best thing"
"Intercropping (with beans)","Preferred","Uganda","Male","grow crop piece land crop"
"Resilience","Preferred","Uganda","Female","still hervest though drougts come"
"Home use","Preferred","Uganda","Female","stay long affected pests harvest"
"Drought avoidance","Preferred","Uganda","Male","maize withstand wheather conditions drought resistant"
"Drought avoidance","Preferred","Uganda","Male","grow fast types months"
"Home use","Preferred","Uganda","Female","maize household consumption sale"
"Home use","Preferred","Uganda","Male","maize roasted seems good taste grow"
"Intercropping (with beans)","Preferred","Uganda","Female","yield alot maize grow mixed crop"
"Resilience","Preferred","Uganda","Male","drought disease resistant"
"Livestock feed","Preferred","Uganda","Female","livestock start rearing livestock available"
"Drought avoidance","Preferred","Uganda","Female","fights drought harvested less months"
"Green maize","Preferred","Uganda","Female","less fertilizer applied high low gestation"
"Livestock feed","Preferred","Uganda","Male","given fodder livestock"
"Food and fodder","Preferred","Uganda","Male","produces nutritious big rainfall stage"
"Green maize","Preferred","Uganda","Female","drought resistant big maize cobs"
"Drought avoidance","Preferred","Uganda","Female","drought resistant"
"Resilience","Preferred","Uganda","Male","drought resistant"
"Livestock feed","Preferred","Uganda","Male","low fertilizer uses"
"Food and fodder","Preferred","Uganda","Male","good livestock people"
"Drought avoidance","Preferred","Uganda","Female","rainfall low"
"Livestock feed","Preferred","Uganda","Male","good fresh maize"
"Resilience","Preferred","Uganda","Female","drought resistant"
"Drought avoidance","Preferred","Uganda","Female","times rainfall little"
"Green maize","Preferred","Uganda","Female","maize cobs big"
"Drought avoidance","Preferred","Uganda","Male","drought resistant"
"Home use","Preferred","Uganda","Female","drought resistant"
"Intercropping (with beans)","Preferred","Uganda","Female","suitable intercrop"
"Green maize","Preferred","Uganda","Female","produces big seed giving high put"
"Green maize","Preferred","Uganda","Male","produces big seed"
"Livestock feed","Preferred","Uganda","Male","provided food human livestock"
"Green maize","Preferred","Uganda","Male","grow fast good seed"
"Food and fodder","Preferred","Uganda","Male","create alternative source survival especially fodder livestock sale food"
"Drought avoidance","Preferred","Uganda","Female","maize drought resistant grow shorter periods time ready market"
"Intercropping (with beans)","Preferred","Uganda","Male","little space harvest maize"
"Green maize","Preferred","Uganda","Female","love maize gives high yield long maize maize gaps"
"Family nutrition","Preferred","Uganda","Female","vitamine drought resistant"
"Drought avoidance","Preferred","Uganda","Male","drought resistant"
"Intercropping (with beans)","Preferred","Uganda","Male","gives high yield intercrop"
"Family nutrition","Preferred","Uganda","Female","drought disease resistantnot"
"Home use","Preferred","Uganda","Male","drought resistant nutritious"
"Resilience","Preferred","Uganda","Male","drought resistant disease resistant"
"Drought avoidance","Preferred","Uganda","Female","drought resistant"
"Intercropping (with beans)","Preferred","Uganda","Male","number cobs high production"
"Resilience","Preferred","Uganda","Female","drought pests resistantplanted soil types household"
"Intercropping (with beans)","Preferred","Uganda","Male","benefits twice"
"Intercropping (with beans)","Preferred","Uganda","Female","able plant crop"
"Green maize","Preferred","Uganda","Female","drought resistant"
"Home use","Preferred","Uganda","Female","household fodder"
"Intercropping (with beans)","Preferred","Uganda","Male","gives big cobs"
"Home use","Preferred","Uganda","Male","harvested storage long"
"Resilience","Preferred","Uganda","Female","shorter periods months harvest"
"Family nutrition","Preferred","Uganda","Female","nutritious much important boosts someones sight"
"Livestock feed","Preferred","Uganda","Male","mainly grow maize livestock"
"Green maize","Preferred","Uganda","Male","harvested earlier compared planting"
"Livestock feed","Preferred","Uganda","Male","fodder livestock"
"Food and fodder","Preferred","Uganda","Female","resistant disease"
"Family nutrition","Preferred","Uganda","Female","nutritious"
"Home use","Preferred","Uganda","Male","lasts months"
"Resilience","Preferred","Uganda","Female","drought disease resilient"
"Drought avoidance","Preferred","Uganda","Female","resistant drought disease"
"Resilience","Preferred","Uganda","Male","resistant drought disease"
"Resilience","Preferred","Uganda","Female","resistant disease"
"Drought avoidance","Preferred","Uganda","Male","harvested months"
"Intercropping (with beans)","Preferred","Uganda","Female","require space"
"Drought avoidance","Preferred","Uganda","Female","harvested days"
"Family nutrition","Preferred","Uganda","Male","nutritious"
"Intercropping (with beans)","Preferred","Uganda","Male","yield different crop time"
"Home use","Preferred","Uganda","Female","storage long rotting"
"Home use","Preferred","Uganda","Female","storage food next seasons drought resistant"
"Drought avoidance","Preferred","Uganda","Female","resistant shorter periods little"
"Intercropping (with beans)","Preferred","Uganda","Male","cobs gives chance crop"
"Family nutrition","Preferred","Uganda","Female","sweet nutritious"
"Drought avoidance","Preferred","Uganda","Male","maize drought tolerant"
"Resilience","Preferred","Uganda","Male","drought resistant disease resistant"
"Resilience","Preferred","Uganda","Male","resistant expected farming"
"Drought avoidance","Preferred","Uganda","Male","quickly harvested takes months"
"Green maize","Preferred","Uganda","Male","drought tolerant disease resistant"
"Intercropping (with beans)","Preferred","Uganda","Female","allows gives opportunity growm crop practicing intercrop maize breed good grow cultivate crop time compared growing"
"Drought avoidance","Preferred","Uganda","Male","drought resistant"
"Intercropping (with beans)","Preferred","Uganda","Male","intercrop requies less fertilizer"
"Home use","Preferred","Uganda","Male","yield prices still low storage long wait price sell"
"Intercropping (with beans)","Preferred","Uganda","Female","save land intercrop qith"
"Family nutrition","Preferred","Uganda","Female","yield financially maize market"
"Home use","Preferred","Uganda","Male","fights hunger easily sell"
"Home use","Preferred","Uganda","Male","household consumption lasts long storage"
"Resilience","Preferred","Uganda","Female","land goodand alot pests"
"Green maize","Preferred","Uganda","Female","redeems time sold green"
"Green maize","Preferred","Uganda","Male","sold raw redeems time full rainfall filling big cobs easily sold market"
"Drought avoidance","Preferred","Uganda","Female","drought resistant yield little time"
"Drought avoidance","Preferred","Uganda","Female","drought disease resilient less maturity time"
"Home use","Preferred","Uganda","Female","household consupmtion turned flour"
"Food and fodder","Preferred","Uganda","Male","household consuption livestock"
"Green maize","Preferred","Uganda","Female","big size"
"Intercropping (with beans)","Preferred","Uganda","Male","yield much"
"Resilience","Preferred","Uganda","Female","drought resistantearly harvest disease"
"Home use","Preferred","Uganda","Male","high quality seed market"
"Resilience","Preferred","Uganda","Male","good nutritious good children"
"Livestock feed","Preferred","Uganda","Female","able fodder livestock"
"Food and fodder","Preferred","Uganda","Male","takes shorter periods yield"
"Intercropping (with beans)","Preferred","Uganda","Female","easily mixed crop"
"Resilience","Preferred","Uganda","Female","drought resistant yield less fertility soil"
"Drought avoidance","Preferred","Uganda","Male","drought disease resistant"
"Intercropping (with beans)","Preferred","Uganda","Male","intercrop saves land"
"Green maize","Preferred","Uganda","Male","yield months"
"Home use","Preferred","Uganda","Female","good storage food long"
"Family nutrition","Preferred","Uganda","Male","nutritious children"
"Food and fodder","Preferred","Uganda","Female","fodder household livestock plus birds"
"Food and fodder","Preferred","Uganda","Male","fodder livestock"
"Home use","Preferred","Uganda","Female","storage months pests"
"Resilience","Preferred","Uganda","Male","drought disease resilient"
"Food and fodder","Preferred","Uganda","Male","livestock fodder"
"Resilience","Preferred","Uganda","Female","drought resistant planted fertility soil"
"Family nutrition","Preferred","Uganda","Female","rich nutritious children"
"Home use","Preferred","Uganda","Female","storage months pests"
"Green maize","Preferred","Uganda","Male","drought resistant less spaceing yet yield"
"Family nutrition","Preferred","Uganda","Female","children growth big cobs disease resistant"
"Home use","Preferred","Uganda","Male","good food drought resitant grow fast"
"Green maize","Preferred","Uganda","Female","profitable either way wether green drought"
"Food and fodder","Preferred","Uganda","Female","consumed livestock human"
"Green maize","Preferred","Uganda","Male","household uses selling"
"Family nutrition","Preferred","Uganda","Female","nutritious body building"
"Home use","Preferred","Uganda","Female","household consumption selling"
"Intercropping (with beans)","Preferred","Uganda","Male","intercrop"
"Home use","Preferred","Uganda","Male","storage months still"
"Home use","Preferred","Uganda","Male","food household"
"Green maize","Preferred","Uganda","Female","big cobs plus withstand drought"
"Family nutrition","Preferred","Uganda","Male","helps children grow nutritious"
"Drought avoidance","Preferred","Uganda","Female","withstand drought multipurpose"
"Home use","Preferred","Uganda","Male","storage months pests"
"Drought avoidance","Preferred","Uganda","Male","early harvest"
"Resilience","Preferred","Uganda","Female","drought resistant"
"Family nutrition","Preferred","Uganda","Male","nutritious"
"Drought avoidance","Preferred","Uganda","Female","drought resistant"
"Resilience","Preferred","Uganda","Female","resistant pests"
"Intercropping (with beans)","Preferred","Uganda","Male","disease resistant problems cobs profitable maturity fast"
"Family nutrition","Preferred","Uganda","Male","household man young children respondent need keep household nutritious food grown majorly eating"
"Resilience","Preferred","Uganda","Female","sold earn income"
"Intercropping (with beans)","Preferred","Uganda","Female","intercrop crop"
"Livestock feed","Preferred","Uganda","Female","fodder livestock"
"Resilience","Preferred","Uganda","Female","resistant drought"
"Intercropping (with beans)","Preferred","Uganda","Male","grow crop single piece land"
"Food and fodder","Preferred","Uganda","Male","respondent much interested livestock production"
"Intercropping (with beans)","Preferred","Uganda","Male","bear cobs disease free drought resistant"
"Home use","Preferred","Uganda","Male","storage months pests"
"Resilience","Preferred","Uganda","Female","drought resistant disease free"
"Food and fodder","Preferred","Uganda","Female","fodder livestock human"
"Drought avoidance","Preferred","Uganda","Male","drought resistant disease free"
"Home use","Preferred","Uganda","Female","drought resistand requires less fertilizer storage long"
"Home use","Preferred","Uganda","Female","storage long"
"Green maize","Preferred","Uganda","Male","drought resistant disease free"
"Food and fodder","Preferred","Uganda","Male","farmer carters"
"Resilience","Preferred","Uganda","Male","resistant disease pests less fertility soil doesnt need alot fertilizer"
"Food and fodder","Preferred","Uganda","Female","human livestock catered"
"Family nutrition","Preferred","Uganda","Male","nutritious carotine"
"Family nutrition","Preferred","Uganda","Female","presence nutritious"
"Resilience","Preferred","Uganda","Female","disease drought resistant"
"Family nutrition","Preferred","Uganda","Male","helps young ones grow nutritious"
"Resilience","Preferred","Uganda","Male","seasons changed muchwe shorter rainfall periods"
"Livestock feed","LessPreferred","Kenya","Female","color pleasing market human consumption"
"Intercropping (with beans)","LessPreferred","Kenya","Male","low yield intercrop"
"Livestock feed","LessPreferred","Kenya","Female","dont mainly livestock fodder"
"Family nutrition","LessPreferred","Kenya","Male","low yield moderate resistant crop disease"
"Food and fodder","LessPreferred","Kenya","Female","resistant drought"
"Green maize","LessPreferred","Kenya","Male","consumed children harvest"
"Livestock feed","LessPreferred","Kenya","Female","suitable household consumption"
"Livestock feed","LessPreferred","Kenya","Male","mainly livestock fodder household uses"
"Home use","LessPreferred","Kenya","Female","doesnt much unique features"
"Green maize","LessPreferred","Kenya","Female","expensive maintain"
"Livestock feed","LessPreferred","Kenya","Male","might market bum harvest"
"Food and fodder","LessPreferred","Kenya","Female","less resistant drought disease"
"Food and fodder","LessPreferred","Kenya","Female","wastage land"
"Home use","LessPreferred","Kenya","Female","needs fertilizer"
"Family nutrition","LessPreferred","Kenya","Male","almost plant"
"Livestock feed","LessPreferred","Kenya","Male","consumption"
"Drought avoidance","LessPreferred","Kenya","Female","usually plant"
"Intercropping (with beans)","LessPreferred","Kenya","Male","reduces crop population yield reduced intercrop"
"Green maize","LessPreferred","Kenya","Female","market green maize"
"Livestock feed","LessPreferred","Kenya","Female","taste pleasant"
"Livestock feed","LessPreferred","Kenya","Female","fodder livestock poultry storage respondent"
"Family nutrition","LessPreferred","Kenya","Male","medium resistant disease drought rainfall fail lead low yield"
"Home use","LessPreferred","Kenya","Male","resistant disease drought"
"Livestock feed","LessPreferred","Kenya","Male","fodder livestock"
"Food and fodder","LessPreferred","Kenya","Male","takes time maturity"
"Family nutrition","LessPreferred","Kenya","Male","area prefers  purpose crop concentrated children take time good market"
"Livestock feed","LessPreferred","Kenya","Female","majors livestock wants produces food"
"Green maize","LessPreferred","Kenya","Male","mostly based green maize late planting market"
"Livestock feed","LessPreferred","Kenya","Female","rainno harvest"
"Home use","LessPreferred","Kenya","Female","fodder livestock"
"Family nutrition","LessPreferred","Kenya","Female","less uses compared drought resistant intercrop"
"Livestock feed","LessPreferred","Kenya","Female","many uses compared"
"Resilience","LessPreferred","Kenya","Female","cant livestock fodder"
"Intercropping (with beans)","LessPreferred","Kenya","Male","important uses compared easy"
"Green maize","LessPreferred","Kenya","Female","good household uses food"
"Green maize","LessPreferred","Kenya","Male","loss market available"
"Resilience","LessPreferred","Kenya","Female","low production"
"Livestock feed","LessPreferred","Kenya","Female","require high fertilizer"
"Livestock feed","LessPreferred","Kenya","Female","livestock fodder"
"Intercropping (with beans)","LessPreferred","Kenya","Male","low harvest large space"
"Livestock feed","LessPreferred","Kenya","Male","interested uses"
"Green maize","LessPreferred","Kenya","Female","interested green maize"
"Home use","LessPreferred","Kenya","Female","limited usage low yield attacked disease"
"Livestock feed","LessPreferred","Kenya","Male","interested varietys usage"
"Intercropping (with beans)","LessPreferred","Kenya","Female","low yield according farmer"
"Livestock feed","LessPreferred","Kenya","Male","widely accepted market difficult sell"
"Green maize","LessPreferred","Kenya","Male","requires large parcels land ensure high profits farmer doesnt selling maize"
"Family nutrition","LessPreferred","Kenya","Male","unpopular fetch good money market"
"Green maize","LessPreferred","Kenya","Male","farmer preferes drought maize green maize storage long periods"
"Green maize","LessPreferred","Kenya","Male","low market buyers find ways discriminate produces basis physical appearance especially birds"
"Livestock feed","LessPreferred","Kenya","Female","fodder livestock priority"
"Family nutrition","LessPreferred","Kenya","Male","remains livestock value"
"Intercropping (with beans)","LessPreferred","Kenya","Female","tedious intercrop"
"Green maize","LessPreferred","Kenya","Female","theft"
"Family nutrition","LessPreferred","Kenya","Male","helpful children adults"
"Livestock feed","LessPreferred","Kenya","Male","useful livestock whole household"
"Resilience","LessPreferred","Kenya","Female","incase disease maize still affected"
"Drought avoidance","LessPreferred","Kenya","Male","maize planted enough rainfall seasons"
"Livestock feed","LessPreferred","Kenya","Female","useful livestock"
"Intercropping (with beans)","LessPreferred","Kenya","Female","low rainfall yield"
"Green maize","LessPreferred","Kenya","Female","dont sell green maize green maize stolen farm"
"Livestock feed","LessPreferred","Kenya","Male","nearest market kitale town away"
"Intercropping (with beans)","LessPreferred","Kenya","Male","low rainfall yield"
"Livestock feed","LessPreferred","Kenya","Female","market area high fertilizer requirement"
"Home use","LessPreferred","Kenya","Female","good human consumption livestock"
"Green maize","LessPreferred","Kenya","Female","green shorter periods storage long"
"Home use","LessPreferred","Kenya","Male","human consumption"
"Green maize","LessPreferred","Kenya","Female","market green maize area"
"Livestock feed","LessPreferred","Kenya","Female","resistant disease requires high amount fertilizer"
"Family nutrition","LessPreferred","Kenya","Male","inability resistant disease"
"Green maize","LessPreferred","Kenya","Female","guarantee food security"
"Home use","LessPreferred","Kenya","Male","limited uses food"
"Green maize","LessPreferred","Kenya","Male","affected variations weather conditions"
"Drought avoidance","LessPreferred","Kenya","Male","maturity fast neighbours still maturity"
"Livestock feed","LessPreferred","Kenya","Female","livestock come later food man"
"Intercropping (with beans)","LessPreferred","Kenya","Male","labour intensive"
"Resilience","LessPreferred","Kenya","Male","plant shorter seasons"
"Green maize","LessPreferred","Kenya","Female","low returns sales"
"Family nutrition","LessPreferred","Kenya","Female","children require nutritious"
"Green maize","LessPreferred","Kenya","Male","ready market green maize farmers area"
"Home use","LessPreferred","Kenya","Male","single uses"
"Food and fodder","LessPreferred","Kenya","Male","fodder priority farmer"
"Family nutrition","LessPreferred","Kenya","Female","bad color"
"Livestock feed","LessPreferred","Kenya","Female","livestock fodder priority farmer"
"Food and fodder","LessPreferred","Kenya","Male","uses less beneficial"
"Drought avoidance","LessPreferred","Kenya","Female","yield impressive"
"Drought avoidance","LessPreferred","Kenya","Female","harvest guaranteed"
"Livestock feed","LessPreferred","Kenya","Male","prefers household uses livestock fodder"
"Livestock feed","LessPreferred","Kenya","Male","livestock fodder"
"Drought avoidance","LessPreferred","Kenya","Female","low yield"
"Food and fodder","LessPreferred","Kenya","Female","uses similar seed farmer uses"
"Livestock feed","LessPreferred","Kenya","Female","mainly livestock fodder"
